tag depth1 depth2 depth3 depth4 depth5 depth6 depth7 depth8 raw after_filter total
morf_c&o_d32 30 10 16 27 7 NULL NULL NULL 90 55 2
morf_c&o_d32 209 106 56 82 25 NULL NULL NULL 478 109 3
morf_c&o_d32 202 107 40 103 31 NULL NULL NULL 483 116 3
morf_c&o_d32 203 103 44 101 27 NULL NULL NULL 478 123 3
morf_c&o_d32 176 93 30 100 20 NULL NULL NULL 419 107 3
morf_c&o_d32 178 86 34 85 18 NULL NULL NULL 401 91 3
morf_c&o_d32 161 85 31 89 16 NULL NULL NULL 382 97 3
morf_c&o_d32 148 77 30 79 8 NULL NULL NULL 342 81 3
morf_c&o_d32 143 72 24 62 12 NULL NULL NULL 313 76 3
morf_c&o_d32 127 64 28 42 22 NULL NULL NULL 283 78 3
morf_c&o_d32 138 64 20 44 14 NULL NULL NULL 280 87 3
morf_c&o_d32 123 61 28 42 15 NULL NULL NULL 269 78 3
morf_c&o_d32 120 47 18 37 13 NULL NULL NULL 235 76 3
morf_c&o_d32 117 55 19 49 18 NULL NULL NULL 258 86 3
morf_c&o_d32 123 44 21 34 26 NULL NULL NULL 248 94 3
morf_c&o_d32 102 42 9 24 10 NULL NULL NULL 187 57 3
morf_c&o_d32 79 31 4 31 4 NULL NULL NULL 149 58 3
morf_c&o_d32 77 20 11 30 4 NULL NULL NULL 142 61 3
morf_c&o_d32 56 9 18 18 2 NULL NULL NULL 103 53 3
morf_c&o_d32 47 14 11 25 5 NULL NULL NULL 102 53 2
morf_c&o_d32 595 367 87 76 66 NULL NULL NULL 1191 174 9
morf_c&o_d32 506 400 151 75 99 NULL NULL NULL 1231 208 9
morf_c&o_d32 405 311 115 54 137 NULL NULL NULL 1022 181 9
morf_c&o_d32 449 362 134 60 103 NULL NULL NULL 1108 189 9
morf_c&o_d32 514 350 86 55 101 NULL NULL NULL 1106 199 9
morf_c&o_d32 521 350 93 71 89 NULL NULL NULL 1124 188 9
morf_c&o_d32 477 363 111 53 88 NULL NULL NULL 1092 155 9
morf_c&o_d32 353 299 89 53 108 NULL NULL NULL 902 169 9
morf_c&o_d32 445 321 115 40 109 NULL NULL NULL 1030 178 9
morf_c&o_d32 503 346 114 46 85 NULL NULL NULL 1094 160 9
morf_c&o_d32 546 348 96 57 88 NULL NULL NULL 1135 173 9
morf_c&o_d32 289 331 117 48 93 NULL NULL NULL 878 166 9
morf_c&o_d32 403 290 108 70 149 NULL NULL NULL 1020 214 9
morf_c&o_d32 439 338 121 49 98 NULL NULL NULL 1045 175 9
morf_c&o_d32 484 359 124 58 71 NULL NULL NULL 1096 183 9
morf_c&o_d32 335 313 109 64 65 NULL NULL NULL 886 176 9
morf_c&o_d32 473 349 123 61 77 NULL NULL NULL 1083 155 9
morf_c&o_d32 446 351 129 67 74 NULL NULL NULL 1067 173 9
morf_c&o_d32 426 322 111 51 103 NULL NULL NULL 1013 179 9
morf_c&o_d32 498 371 111 66 98 NULL NULL NULL 1144 171 9
morf_c&o_d32 550 368 89 67 70 NULL NULL NULL 1144 170 9
morf_c&o_d32 313 316 94 56 95 NULL NULL NULL 874 163 9
morf_c&o_d32 460 349 103 33 93 NULL NULL NULL 1038 181 9
morf_c&o_d32 429 313 90 42 121 NULL NULL NULL 995 200 9
morf_c&o_d32 341 241 84 27 123 NULL NULL NULL 816 175 9
morf_c&o_d32 399 282 84 43 117 NULL NULL NULL 925 171 9
morf_c&o_d32 395 283 91 30 111 NULL NULL NULL 910 180 9
morf_c&o_d32 516 321 82 49 118 NULL NULL NULL 1086 210 9
morf_c&o_d32 560 313 92 43 75 NULL NULL NULL 1083 181 9
morf_c&o_d32 550 346 105 67 84 NULL NULL NULL 1152 192 9
morf_c&o_d32 470 343 105 35 92 NULL NULL NULL 1045 194 9
morf_c&o_d32 422 296 95 42 149 NULL NULL NULL 1004 220 9
morf_c&o_d32 519 321 107 48 75 NULL NULL NULL 1070 184 9
morf_c&o_d32 530 336 100 55 78 NULL NULL NULL 1099 197 9
morf_c&o_d32 496 353 90 56 83 NULL NULL NULL 1078 202 9
morf_c&o_d32 446 319 120 49 121 NULL NULL NULL 1055 221 9
morf_c&o_d32 364 317 129 40 113 NULL NULL NULL 963 161 9
morf_c&o_d32 375 327 142 52 80 NULL NULL NULL 976 132 9
morf_c&o_d32 301 282 133 76 94 NULL NULL NULL 886 178 8
morf_c&o_d32 401 355 161 44 94 NULL NULL NULL 1055 150 9
morf_c&o_d32 323 285 86 31 106 NULL NULL NULL 831 144 9
morf_c&o_d32 444 323 134 48 104 NULL NULL NULL 1053 173 9
morf_c&o_d32 557 367 123 57 94 NULL NULL NULL 1198 202 9
morf_c&o_d32 603 402 116 38 90 NULL NULL NULL 1249 173 9
morf_c&o_d32 537 382 173 70 94 NULL NULL NULL 1256 189 9
morf_c&o_d32 710 435 232 84 113 NULL NULL NULL 1574 271 8
morf_c&o_d32 725 424 215 79 115 NULL NULL NULL 1558 248 9
morf_c&o_d32 394 336 278 94 140 NULL NULL NULL 1242 253 8
morf_c&o_d32 414 227 133 80 87 NULL NULL NULL 941 246 3
morf_c&o_d32 321 264 269 99 92 NULL NULL NULL 1045 217 7
morf_c&o_d32 112 153 90 54 32 NULL NULL NULL 441 198 3
morf_c&o_d32 153 159 83 41 48 NULL NULL NULL 484 173 3
morf_c&o_d32 154 142 115 42 42 NULL NULL NULL 495 116 3
morf_c&o_d32 232 151 111 194 37 NULL NULL NULL 725 281 3
morf_c&o_d32 152 86 69 155 70 NULL NULL NULL 532 250 2
